Author,Title,Source,URL,Category,Description,Published Status
"Liang M, Gao L, Cheng C, et al.",Efficacy of face mask in preventing respiratory virus transmission: a systematic review and meta-analysis,medRxiv,https://www.medrxiv.org/content/10.1101/2020.04.03.20051649v2.full.pdf,,To examine the effectiveness of masks in preventing the transmission of respiratory viruses.,preprint
"Lem F, Opook F, Herng DLJ, et al. ",Molecular mechanism of action of repurposed drugs and traditional Chinese medicine used for the treatment of patients infected with COVID-19: A systematic review,medRxiv,https://www.medrxiv.org/content/10.1101/2020.04.10.20060376v1.full.pdf,,To provide an overview of the molecular mechanism of action of repurposed drugs or alternative treatment medicines used to attenuate COVID-19 disease. ,preprint
"Shah S, Das S, Jain A, et al.",A systematic review of the prophylactic role of chloroquine and hydroxychloroquine in Coronavirus Disease-19 (COVID-19),Int J Rheum Dis,https://onlinelibrary.wiley.com/doi/abs/10.1111/1756-185X.13842,Candidate Therapeutics,To systematically review the role of CQ and HCQ in preventing the spread of COVID-19.,published
"Fu L, Wang B, Yuan T, et al.",Clinical characteristics of coronavirus disease 2019 (COVID-19) in China: A systematic review and meta-analysis,J Infect,https://www.sciencedirect.com/science/article/pii/S0163445320301705?via%3Dihub,Clinical Characteristics,To better inform efforts to treat and control the current outbreak with a comprehensive characterization of COVID-19.,published
"Zuin M, Rigatelli G, Zuliani G, et al.",Arterial hypertension and risk of death in patients with COVID-19 infection: systematic review and meta-analysis,J Infect,https://www.sciencedirect.com/science/article/pii/S0163445320301894?via%3Dihub,,To evaluate the risk of death in COVID-19 infection patients with and without HT.,published
"Bao C, Liu X, Zhang H, et al.",Coronavirus Disease 2019 (COVID-19) CT Findings: A systematic review and meta-analysis,J Am Coll Radiol,https://www.sciencedirect.com/science/article/pii/S1546144020302623?via%3Dihub,Clinical Characteristics,To provide a summary of evidence on detection of COVID-19 by chest CT and the expected CT imaging manifestations.,published
"Yang Z, Liu J, Zhou Y, et al.",The effect of corticosteroid treatment on patients with coronavirus infection: A systematic review and meta-analysis,J Infect,https://www.sciencedirect.com/science/article/pii/S0163445320301912?via%3Dihub,Candidate Therapeutics,To further evaluate the influence of corticosteroids on patients with coronavirus infection.,published
Boden M,Estimating the mental health impact of COVID-19 in the United States,OSF,https://osf.io/e2yw8/,,,development
"Hastings S, et al.",Likelihood of asymptomatic transmission of SARS-CoV-2,Alberta Health Services,https://www.albertahealthservices.ca/assets/info/ppih/if-ppih-covid-19-rapid-response-asymptomatic-transmission.pdf,,To explore the evidence supporting the possibility of asymptomatic transmission of SARS-CoV-2.,published
,Triage tools for ICU admission during COVID-19,NSW Health COVID-19 Critical Intelligence Unit,https://www.aci.health.nsw.gov.au/__data/assets/pdf_file/0007/578473/20200413-Evidence-Check-ICU-Triage-and-Risk.pdf,,To review the triage tools that are available to guide decisions about admission to ICU during COVID-19.,published
,Tools to support communication between patients and families,NSW Health COVID-19 Critical Intelligence Unit,https://www.aci.health.nsw.gov.au/__data/assets/pdf_file/0008/578474/20200413-Evidence-Check-Communication-Tools.pdf,,To review the evidence on emerging tools that are being used to support communication between patients and their loved ones during the COVID-19 pandemic.,published
,Palliative care and COVID-19,NSW Health COVID-19 Critical Intelligence Unit,https://www.aci.health.nsw.gov.au/__data/assets/pdf_file/0009/577719/20200412-Evidence-Check-Palliative-Care-Update.pdf,,To review the evidence on the organization of palliative care services during COVID-19 (or previous pandemics).,published
,Dedicated or temporary COVID-19 healthcare facilities,NSW Health COVID-19 Critical Intelligence Unit,https://www.aci.health.nsw.gov.au/__data/assets/pdf_file/0004/577723/20200412-Evidence-Check-Temporary-Hospitals.pdf,,To review the evidence on the use of dedicated hospitals and wards exclusively for the use of COVID-19 patients.,published
"Etkind SN, Bone AE, Lovell N, et al.",The role and response of palliative care and hospice services in epidemics and pandemics: a rapid review to inform practice during the COVID-19 pandemic,J Pain Symptom Manage,https://doi.org/10.1016/j.jpainsymman.2020.03.029,Clinical Characteristics,"To synthesise evidence for the role and response of palliative care and hospice teams to viral epi/pandemics, to inform the COVID-19 pandemic response.",published
,Modes of transmission for COVID-19,NSW Health COVID-19 Critical Intelligence Unit,https://www.aci.health.nsw.gov.au/__data/assets/pdf_file/0012/578469/20200411-Evidence-Check-Modes-Of-Transmission.pdf,,To review the evidence about COVID-19 modes of transmission?,published
"O'Hearn K, Gerstman S, Sampson M, et al.",Decontaminating N95 masks with Ultraviolet Germicidal Irradiation (UVGI) does not impair mask efficacy and safety: A Systematic Review,OSF Preprints,https://osf.io/29z6u/,,To synthesize existing data on the effectiveness of ultraviolet germicidal irradiation (UVGI) on N95 FFR decontamination.,preprint
Jelinski S,Clinical risk prediction tools for admitted COVID-19 patients ,Alberta Health Services,https://www.albertahealthservices.ca/assets/info/ppih/if-ppih-covid-19-rapid-review-crpts-for-admitted-covid-19-patients.pdf,,To review the evidence on risk prediction tools to guide admission disposition and management decisions for patients with COVID-19 who are admitted to the hospital.,published
McLane P,Patient risk stratification and admission guidelines ,Alberta Health Services,https://www.albertahealthservices.ca/assets/info/ppih/if-ppih-covid-19-rapid-review-patient-risk-stratification-and-admission.pdf,,To review the evidence on admission or safe discharge of patients with suspected or confirmed COVID-19 from the emergency department,published
Sharpe H,Indicators for intubation of COVID-19 patients ,Alberta Health Services,https://www.albertahealthservices.ca/assets/info/ppih/if-ppih-covid-19-rapid-review-predictors-of-intubation.pdf,,To review the evidence on clinical features that reliably indicate need for intubation or mechanical ventilation.,published
,Continuous Positive Airway Pressure (CPAP) machines,NSW Health COVID-19 Critical Intelligence Unit,https://www.aci.health.nsw.gov.au/__data/assets/pdf_file/0006/578472/20200410-Evidence-Check-CPAP.pdf,,"To review the evidence on whether continuous positive airway pressure (CPAP) and/or Bilevel Positive Airway Pressure (BiPAP) are aerosol generating, and to locate guidelines on the use of CPAP as a substitute for ventilators during the COVID-19 pandemic.",published
"Aminjafari A, Ghasemi S",The possible of immunotherapy for COVID-19: A systematic review,Int Immunopharmacol,https://www.sciencedirect.com/science/article/pii/S1567576920309127?via%3Dihub,Candidate Therapeutics,To evaluate the existing evidence and experience related to immunotherapy for 2019-nCoV.,published
"Viner RM, Russell SJ, Croker H, et al.",School closure and management practices during coronavirus outbreaks including COVID-19: a rapid systematic review,Lancet Child Adolesc Health,https://linkinghub.elsevier.com/retrieve/pii/S235246422030095X,Infection Control,To identify what is known about the effectiveness of school closures and other school social distancing practices during coronavirus outbreaks.,published
"Rana DR, Dulal S",Therapeutic Application of Chloroquine and Hydroxychloroquine in Clinical Trials for COVID-19: A systematic review,medRxiv,https://www.medrxiv.org/content/10.1101/2020.03.22.20040964v2.full.pdf,,To evaluate the various dosages of chloroquine and hydroxychloroquine utilized in clinical trials registered in Chinese and US clinical trial registries for the treatment of pneumonia caused by SARS-CoV-2.,preprint
"Khan MM, Khan MN, Mustagir MG, et al.","COVID-19 infection during pregnancy: A systematic review to summarize possible symptoms, treatments, and pregnancy outcomes",medRxiv,https://www.medrxiv.org/content/10.1101/2020.03.31.20049304v2.full.pdf,,"To summarize the possible symptoms, treatments, and pregnancy outcomes of women infected with COVID-19 during their pregnancy. ",preprint
"Cheatley J, Vuik S, Devaux M, et al.",The effectiveness of non-pharmaceutical interventions in containing epidemics: a rapid review of the literature and quantitative assessment,medRxiv,https://www.medrxiv.org/content/10.1101/2020.04.06.20054197v1.full.pdf,,To investigate evidence from previous epidemic outbreaks to provide a quantitative assessment of the effectiveness of key NPIs used by countries to combat the COVID-19 pandemic. ,preprint
"Gbinigie K, Kerstin F",Should chloroquine and hydroxychloroquine be used to treat COVID-19? A rapid review,BJGP Open,https://bjgpopen.org/content/early/2020/04/07/bjgpopen20X101069,Candidate Therapeutics,To establish the current evidence for the effectiveness of CQ and HCQ in treating COVID-19.,published
"Castro RT, Vasconcello L, et al.",Functional capacity in patients with coronavirus disease 2019 (COVID-19): a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=178304,,,development
"Li Y, Tang D, Deng X, et al.",Outcomes of children with COVID-19 : a system review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=178287,,,development
"Carmisciano L, Sormani MP",Risk factors associated with COVID-19 severity,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176964,,,development
"Xu P, Sun G, Li Z","Epidemiological, clinical and laboratory characteristics of severe versus non-severe corona virus disease 2019 (COVID-19) pneumonia: a systematic review and meta-analysis",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176931,,,development
"Ghorbani M, Sarmadi M, Azizi O, et al.","Incubation period, basic reproduction number and fatality rate of COVID-19: a systematic review and meta-analysis",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176717,,,development
"Lee HW, Park JM, Yoon JK, et al.",Efficacy and safety of hydroxychloroquine or chloroquine in COVID-19 patients,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=178229,,,development
"Carrillo-Larco RM, Weiss M, Sequeiros D, et al.",COVID-19 Mortality: Characteristics and risk factors – A systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=178201,,,development
"Marshall J, Bashford J, Trip SA, et al.",Systematic review and meta-analysis of immunomodulatory therapy in patients with viral respiratory infection: potential lessons for novel coronavirus SARS-CoV-2,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=178174,,,development
Jarde A,"A living systematic review of clinical trials assessing the effectiveness of interventions, compared to standard care, for patients with COVID-19",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=178090,,,development
"Jiang-lin W, Yihu Y, Yueliang X, et al.",Association of comorbid diabetes mellitus with poorer progression in patients with COVID-19: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=178048,,,development
"Zhao Y, Zhang M, Lin S, et al.",Lymphocyte count predicts the severity of coronavirus disease 2019 (COVID-19),PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177132,,,development
"Dulong C, MacDougall D",Digital Stethoscope for Patients with Confirmed or Suspected Infectious Disease: Guidelines,CADTH,https://covid.cadth.ca/screening/digital-stethoscope-for-patients-with-confirmed-or-suspected-infectious-disease-guidelines/,,To search for evidence-based guidelines related to the use of digital stethoscopes for pulmonary auscultation in patients with suspected or confirmed infectious disease.,published
"Kumar D, Walter M, Frey N",SARS-CoV-2 Longevity on and Transmission via Materials: Evidence,CADTH,https://covid.cadth.ca/infection-control/sars-cov-2-longevity-on-and-transmission-via-materials-evidence/,,"To review the available evidence on the lifespan of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) on different materials, as well as its potential for transmission via these materials",published
"Stern D, Lopez-Olmedo N, Perez-Ferrer C, et al.",Rapid review of the use of community-wide surgical masks and acute respiratory infections,Salud publica de Mexico,http://www.saludpublica.mx/index.php/spm/article/view/11379,Infection Control,"To assess the effectiveness of using surgical masks in community settings to reduce the probability of infection by SARS-CoV-2 or other acute viral respiratory infection, compared to not using surgical masks",published
,COVID-19 and Lopinavir [French],"INESSS, Quebec",https://www.inesss.qc.ca/covid-19/traitements-specifiques-a-la-covid-19/lopinavir-ritonavir-kaletra-mise-a-jour-09-04-2020.html,,To evaluate the use of the lopinavir-ritonavir combination in post-exposure prophylaxis of SARS-Cov2 infection.,published
Chastenay M,COVID-19 and social safety net around children and youth at risk of abuse and youth protection practices [French],"INESSS, Quebec",https://www.inesss.qc.ca/fileadmin/doc/INESSS/COVID-19/COVID-19_Filet_securite_jeunes_et_pratiques_PJ.pdf,,To review the evidence on maintaining a community safety net for children and youth at risk of being abused during a pandemic.,published
"Han P, Diao K, Pang T, et al.",Comparison of Clinical Features between Critically and Non-Critically Ill Patients In SARS and COVID-19: A Systematic Review and Meta-Analysis,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566133,,"To compare differences in clinical characteristics between critically and non-critically ill patients with SARS and COVID-19, respectively.",preprint
"Biswas M, Rahaman S, Biswas TK, et al.","Effects of Sex, Age and Comorbidities on the Risk of Infection and Death Associated with COVID-19: A Meta-Analysis of 47807 Confirmed Cases",SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566146,," To build a robust evidence by estimating aggregated risk for sex, age and comorbidities on the death and infection cases of COVID-2019.",preprint
"Parazzini F, Bortolus R, Mauri PA, et al.",Delivery in pregnant women infected with SARS?CoV?2: A fast review,Int J Gynaecol Obstet,https://obgyn.onlinelibrary.wiley.com/doi/10.1002/ijgo.13166,Clinical Characteristics,"To review the available information on mode of delivery, vertical/peripartum transmission, and neonatal outcome in pregnant women infected with SARS?CoV?2.",published
"El-Jardali F, Fadlallah R, Daher N, et al.",Suppressing COVID-19 Epidemic through Community-Centered Care Approach,Knowledge to Policy Center,https://www.aub.edu.lb/k2p/Documents/K2P%20Corona%20Rapid%20Response%20Series%20Suppressing%20COVID19%20Epidemic%20through%20community%20centered%20approach.pdf,,To provide guidance for suppressing COVID-19 through community-centered care approach.,published
"Rios P, Radhakrishnan A, Antony J, et al.",What is the effectiveness and safety of antiviral or antibody treatments for coronavirus?,Oxford COVID-19 Evidence Service,https://www.cebm.net/covid-19/effectiveness-and-safety-of-antiviral-or-antibody-treatments-for-coronavirus/,,To identify safe and effective medical countermeasures to address the current outbreak of a novel coronavirus (COVID-19).,published
"Greenhalgh T, Treadwell J, Burrow R, et al.",NEWS (or NEWS2) score when assessing possible COVID-19 patients in primary care?,Oxford COVID-19 Evidence Service,https://www.cebm.net/covid-19/should-we-use-the-news-or-news2-score-when-assessing-patients-with-possible-covid-19-in-primary-care/,,"To establish the state of knowledge, ignorance and uncertainty in relation to the use of NEWS2 in the context of COVID-19 in primary care.",published
"Zong X, Gu Y, Li Z, et al.",Risk factors associated with poor COVID-19 outcomes: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177425,,,development
"Guerreiro C, Marques C, Faria S","A systematic review and meta-analysis of clinical, imaging, and laboratory findings in pediatric patients with COVID-19",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177557,,,development
"Angkananard T, Agaslerg S, Roongsangmanoon W, et al.",Complete blood count parameters and risks of mortality and cardiovascular events among patients with coronavirus disease 2019 (COVID-19) infections: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177461,,,development
"Estcourt L, Kimber C, Doree C, et al.",A systematic review of the safety and efficacy of convalescent plasma or immunoglobulin treatment for people with severe respiratory viral infections due to coronaviruses or influenza,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176392,,,development
"Cevik M, Pool E, Ring K, et al.",What are the clinical outcomes for people living with HIV who are diagnosed with human coronavirus infection?,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176144,,,development
"Liu X, Li Y, Li J, et al.",The rehabilitative effects of traditional Chinese exercise in patients with novel coronavirus pneumonia (COVID-19): a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177060,,,development
"Russel B, Moss C, George G, et al.",Associations Between Immune-Suppressive and Stimulating Drugs and Novel COVID-19-a Systematic Review of Current Evidence,Ecancermedicalscience,https://pubmed.ncbi.nlm.nih.gov/32256705/,,To examine the effects of immuno-suppressive and stimulating drugs on host immunity against COVID-19.,published
"Zaigham M, Andersson O",Maternal and Perinatal Outcomes With COVID-19: A Systematic Review of 108 Pregnancies,Acta Obstet Gynecol Scand,https://pubmed.ncbi.nlm.nih.gov/32259279/,Clinical Characteristics,To summarize the clinical manifestations and maternal and perinatal outcomes of COVID-19 during pregnancy,published
"Hartmann-Boyce J, Morris E, Goyder C, et al.",Diabetes and risks from COVID-19,Oxford COVID-19 Evidence Service,https://www.cebm.net/covid-19/diabetes-and-risks-from-covid-19/,,,published
"Hartmann-Boyce J, Morris E, Goyder C, et al.",Managing diabetes during the COVID-19 pandemic,Oxford COVID-19 Evidence Service,https://www.cebm.net/covid-19/managing-diabetes-during-the-covid-19-pandemic/,,,published
"Heneghan C, Pluddemann A, Mahtani KR",Differentiating viral from bacterial pneumonia,Oxford COVID-19 Evidence Service,https://www.cebm.net/covid-19/differentiating-viral-from-bacterial-pneumonia/,,,published
"Green K, Allen AJ, Suklan J",What is the role of imaging and biomarkers within the current testing strategy for the diagnosis of COVID-19?,Oxford COVID-19 Evidence Service,https://www.cebm.net/covid-19/what-is-the-role-of-imaging-and-biomarkers-within-the-current-testing-strategy-for-the-diagnosis-of-covid-19/,,"To describe the approaches to clinical investigations following a negative RT-PCR results as described in guidelines from China, Italy, Spain, UK and US. ",published
Hastings S,Re-infection and immunity post infection ,Alberta Health Services,https://www.albertahealthservices.ca/assets/info/ppih/if-ppih-covid-19-reinfection-rapid-review.pdf,,To review the evidence on whether people with previous COVID-19 infection can become re-infected by the SARS-CoV-2 virus.,published
Chastenay MH,COVID-19 and diagnostic assessment of ASD at a distance [French],"INESSS, Quebec",https://www.inesss.qc.ca/fileadmin/doc/INESSS/COVID-19/COVID-19_TSA_evaluation_distance.pdf,,To review the evidence on the effectiveness and feasibility of assessing autism spectrum disorder in children remotely in the context of the COVID-19 pandemic.,published
Chastenay MH,Psychological distress and mental health of personnel in the health and social services network in the context of the current pandemic,"INESSS, Quebec",https://www.inesss.qc.ca/covid-19/services-sociaux/detresse-personnel-sante-1474.html,,To review the evidence on psychological distress and mental health in healthcare workers during the COVID-19 pandemic.,published
"Arabi S, Vaseghi G, Heidari Z, et al.",Clinical characteristics of COVID-19 infection in pregnant women: a systematic review and meta-analysis,medRxiv,https://www.medrxiv.org/content/10.1101/2020.04.05.20053983v1.full.pdf,,To measure the risks and determine the presentations of COVID-19 in pregnant women and newborns.,preprint
Khunti K,What is the evidence that COVID-19 personal protective equipment should include shoe covers?,Oxford COVID-19 Evidence Service,https://www.cebm.net/covid-19/what-is-the-evidence-that-covid-19-personal-protective-equipment-should-include-shoe-covers/,,,published
"Cheung KS, Hung IF, Chan PP, et al.",Gastrointestinal Manifestations of SARS-CoV-2 Infection and Virus Load in Fecal Samples From the Hong Kong Cohort and Systematic Review and Meta-analysis,Gastroenterology,https://pubmed.ncbi.nlm.nih.gov/32251668/,Clinical Characteristics,"To review the published gastrointestinal symptoms and detection of virus in stool, and also summarize data from a cohort of patients with COVID-19 in Hong Kong.",published
"Cipriani A, Ostinelli E, Smith K, et al.","COVID-19 and its impact on mental health patients, staff and services: systematic review with recommendations for clinical practice and research",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=178819,,,development
"Jianglin W, Yueliang X, Xiaocong Z","The association of clinical, comorbidities and laboratory features of the patients on admission with severity of COVID-19: a systematic review and meta-analysis",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177229,,,development
"Zhang H, Gao J, Liang Y, et al.",The association between angiotensin-converting enzyme inhibitor (ACEI) or angiotensin II receptor blocker (ARB) drugs and hypertension in patients with COVID-19: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177067,,,development
"Mosquim V, Foratori-Junior GA, de Carvalho Sales-Peres SH",COVID-19 and its relation with pregnancy and neonates: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177354,,,development
"Bravo-Jeria R, Reyes MXR, Franco JVA, et al.",Chloroquine and hydroxychloroquine for the treatment of COVID-19: a living systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=178195,,,development
"Zhao Y, Sun W, Zhou J, et al.",Chloroquine combined with azithromycin for novel coronavirus (COVID-19) pneumonia: a systematic review and meta-analysis of randomised controlled trials,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177080,,,development
"Cournoyer A, Lonergan A, Daust R, et al.",Oxygenation strategies prior to endotracheal intubation and contamination risk for healthcare workers caring for patients suffering from a viral severe acute respiratory infection: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=175256,,,development
"Gul M, Htun ZM",COVID-19 and cytokine storms: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177056,,,development
"Zhong S, Ao X",The diagnostic value of the SARS-CoV-2 IgM/IgG antibody test in COVID-19: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176998,,,development
"Gu R, Gu Y, Zhang C, et al.",The safety and effectiveness of traditional Chinese medicine for the treatment of pregnant patients with COVID-19,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177009,,,development
"Kuma A, Arora A",Factors associated with a severe clinical course of COVID-19: a meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176965,,,development
"de Jesus SC, Petry BF, Lentz GNS, et al.",Risk factors for COVID-19 infection in nursing professionals: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=178168,,,development
"Gu R, Gu Y, Zhang C, et al.",Rehabilitation exercise plans for patients after recovery from COVID-19,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176990,,,development
"Martinotti G, Miuli A, Pettorruso M, et al.",COVID-19 and other coronaviruses: induced neuropsychiatric symptoms and hypothesis for a specific neurotropism,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177303,,,development
"Minh LHN, Loc LQ, Abozaid AA, et al.",Clinical aspect of novel Coronavirus (2019-nCoV): a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=167929,,,development
"Peixoto H, Gallo L, Pereira AC, et al.",Accuracy and reproducibility of diagnostic technologies for the novel coronavirus 2019,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176269,,,development
"Yu C, Yang C, Chi C",Effects of corticosteroid use in treating emerging coronavirus infections,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=169864,,,development
"Green K, Graziadio S, Turner P, et al.","Molecular and antibody point-of-care tests to support the screening, diagnosis and monitoring of COVID-19",Oxford COVID-19 Evidence Service,https://www.cebm.net/covid-19/molecular-and-antibody-point-of-care-tests-to-support-the-screening-diagnosis-and-monitoring-of-covid-19/,,To summarize the characteristics of current molecular and antibody diagnostic tests available to support the diagnosis and management of patients with suspected COVID-19.,published
"Ma X, Il Y, Kang J, et al.",The clinical efficacy of interferons for coronavirus infection: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=171447,,,development
"Kumar P, Sharma R, Misra S, et al.",Impact of renal dysfunction and neurological deterioration in all-cause mortality for patients with novel coronavirus (nCOV) infection: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176910,,,development
,N95 Equivalents as an Alternative to N95 Respirators in a Health Care Setting,Ontario Health Quality,https://www.hqontario.ca/Portals/0/documents/evidence/reports/n95-equivalents-as-an-alternative-to-n95-respirators-in-a-health-care-setting.pdf,,To examine the recommendations and literature on N95 equivalents from other countries during the COVID-19 pandemic.,published
,Cloth (Fabric) Masks as an Alternative to N95 Respirators in a Health Care Setting,Ontario Health Quality,https://www.hqontario.ca/Portals/0/documents/evidence/reports/cloth-masks-as-an-alternative-to-n95-respirators-in-a-health-care-setting.pdf,,To examine the recommendations and literature on cloth (fabric) masks during the COVID-19 pandemic.,published
,Powered Air Purifying Respirators (PAPRs) as an Alternative to N95 Respirators in a Health Care Setting,Ontario Health Quality,https://www.hqontario.ca/Portals/0/documents/evidence/reports/powered-air-purifying-respirators-as-an-alternative-to-n95-respirators-in-a-health-care-setting.pdf,,To examine the guidelines and published literature on 3D printing of N95 respirators and face shields during the COVID-19 pandemic.,published
,Cardiopulmonary resuscitation (CPR),NSW Health COVID-19 Critical Intelligence Unit,https://www.aci.health.nsw.gov.au/__data/assets/pdf_file/0005/578471/20200408-Evidence-Check-CPR.pdf,,To review the evidence on whether cardiopulmonary resuscitation is aerosol generating.,published
,COVID-19 rapid response and access to promising products and interventions in the context of a pandemic: A rigorous and informed choice [French],"INESSS, Quebec",https://www.inesss.qc.ca/covid-19/traitements-specifiques-a-la-covid-19/acces-aux-produits-et-interventions-prometteuses-dans-le-contexte-de-pandemie-un-choix-rigoureux-et-eclaire.html,,To document the ethical guidelines for demonstrating treatment effectiveness by clinical research.,published
,"ACEI and ARBs and ARI (In people using angiotensin converting enzyme inhibitors (ACEI) and angiotensin receptor blocker (ARBs), what is the risk of acute respiratory infection, and should people stop taking ACEI and ARBs before and/or during acute respira",Cochrane COVID Rapid Reviews,https://covidrapidreviews.cochrane.org/question/136,,,development
,"How do social determinants of health (income, employment, housing, food security, race, and social connectedness) impact outcomes for all people diagnosed with disease caused by severe acute respiratory coronavirus 2 (SARS-CoV-2), COVID-19?",Cochrane COVID Rapid Reviews,https://covidrapidreviews.cochrane.org/question/131,,,development
"de Andrade FB, Justino DCP","Speed of death after contamination with COVID-19, and its relationship with age group: a systematic review",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176857,,,development
"Scott DA, Khunti K, Gillies C, et al.",A systematic review and meta-analysis of the efficacy and safety of chloroquine for the treatment of patients with COVID-19,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=178266,,,development
"Fan-jie X, Wei Z, Kai S, et al.",Clinical efficacy of traditional Chinese medicine in the treatment of PTSD induced by Coronavirus disease 2019 (COVID-19): a systematic review and network meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=178376,,,development
"Ojha V, Pandey N, Mani A, et al.",Chest CT findings in COVID-19 in adults: A systematic review of the current literature,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176900,,,development
"Sarmadi M, Foroughi M",Evaluation of mean hospitalized period of COVID-19 patients for future health plans: a systematic review and meta-analysis study,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176951,,,development
"Vancsa S, Farkas N, Hegyi P, et al.",Impact of comorbidites on the disease course in SARS-CoV-2 infection: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176781,,,development
"Yongzing X, Liu P",The incidence of organ complications and receiving organ support in patients with Coronavirus Disease 2019 (COVID-19),PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=172680,,,development
"Xueqiang W, Guo J, Peng M, et al.",Mortality in coronavirus disease (COVID-19): a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=173738,,,development
"Li Y, Hu X, Bi L, et al.","Prevalence, severity and mortality associated with alcoholic hepatitis and drinking in patients with COVID-19: a systematic review and meta-analysis",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177859,,,development
"Ding Y, Yan H, Guo W","Clinical, laboratory and imaging characteristics of children with COVID-19: a systematic review and meta-analysis",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176942,,,development
"Zhang H, Gao J, Liu R, et al.",Risk factors for the readmission of patients with coronavirus disease 2019 (COVID-19) after cure: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=176924,,,development
"Algamdi M, Alghifari A, Almazeedi T, et al.","Therapeutic agents, prognostic factors, and outcomes of hospitalized patients with coronavirus disease 2019: a systematic review and meta-analysis",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=177768,,,development
